ID,Length,Osculum,Camera
30,11.75,2,3
31,11.378,2,3
32,9.876,2,3
33,11.751,2,3
34,12.001,2,3
35,11.753,2,3
36,10.5,2,3
37,12.88,2,3
38,11.753,2,3
39,13.375,2,3
40,11.875,2,3
41,10.625,2,3
42,11.25,2,3
43,11.751,2,3
44,13.255,2,3
45,11.881,2,3
46,12.502,2,3
47,12,2,3
48,13.126,2,3
49,11.753,2,3
50,13.63,2,3
51,12.501,2,3
52,12.5,2,3
53,11.25,2,3
54,11.886,2,3
55,12.627,2,3
56,13.125,2,3
57,13.626,2,3
58,12.001,2,3
59,11.625,2,3
60,10.253,2,3
61,10.375,2,3
62,12.627,2,3
63,10.628,2,3
64,11.25,2,3
65,11.125,2,3
66,10.5,2,3
67,12.625,2,3
68,13.375,2,3
69,10.5,2,3
70,12.75,2,3
71,11,2,3
72,11.128,2,3
73,11.875,2,3
74,11.75,2,3
75,11.511,2,3
76,11.251,2,3
77,12.752,2,3
78,13.251,2,3
79,11.875,2,3
80,12.751,2,3
81,11.375,2,3
82,11.376,2,3
83,11.126,2,3
84,11,2,3
85,11.5,2,3
86,11.25,2,3
87,12,2,3
88,11.126,2,3
89,11.501,2,3
90,10.128,2,3
91,11.001,2,3
92,12.001,2,3
93,12.626,2,3
94,12.378,2,3
95,12,2,3
96,10.878,2,3
97,11.628,2,3
98,11.251,2,3
1,14,3,3
2,13.627,3,3
3,12.875,3,3
4,12.501,3,3
5,14.126,3,3
6,13.127,3,3
7,13.5,3,3
8,14.255,3,3
9,14.63,3,3
10,14.252,3,3
11,15.377,3,3
12,13.626,3,3
13,13.502,3,3
14,13.752,3,3
15,13.501,3,3
16,14.126,3,3
17,14.001,3,3
18,14.001,3,3
19,15.001,3,3
20,15.875,3,3
21,15.75,3,3
22,13.751,3,3
23,12.875,3,3
24,14.875,3,3
25,13.375,3,3
26,15.625,3,3
27,15.126,3,3
28,15.002,3,3
29,14.377,3,3
30,14.376,3,3
31,13.377,3,3
32,12.625,3,3
33,12.627,3,3
34,13.752,3,3
35,12.627,3,3
36,16.5,3,3
37,13.752,3,3
38,13.377,3,3
39,14.376,3,3
40,13.376,3,3
41,13.377,3,3
42,13.252,3,3
43,12.25,3,3
44,12.751,3,3
45,12.75,3,3
46,12.375,3,3
47,14.384,3,3
48,16,3,3
49,13.752,3,3
50,16.127,3,3
51,16.125,3,3
52,15.13,3,3
53,14.505,3,3
54,16.75,3,3
55,12.88,3,3
56,14.001,3,3
57,14.876,3,3
58,16,3,3
59,13.752,3,3
60,15.38,3,3
61,14.752,3,3
62,13.126,3,3
63,13,3,3
64,13.001,3,3
65,12.627,3,3
66,15.375,3,3
67,13.376,3,3
68,10.253,3,3
69,13.5,3,3
70,12.751,3,3
71,13.75,3,3
72,13.126,3,3
73,12.877,3,3
74,14.125,3,3
75,11.503,3,3
76,13.627,3,3
77,13,3,3
78,12.76,3,3
79,13.876,3,3
80,13.625,3,3
81,12.752,3,3
82,13.002,3,3
83,13.252,3,3
84,11.125,3,3
85,11.126,3,3
86,13.001,3,3
87,12.375,3,3
88,13.876,3,3
89,13.875,3,3
90,14.502,3,3
91,14,3,3
1,14,1,4
2,14.004,1,4
3,13.376,1,4
4,12.917,1,4
5,12.083,1,4
6,7.917,1,4
7,15.168,1,4
8,16.083,1,4
9,13.5,1,4
10,13.084,1,4
11,12,1,4
12,13.168,1,4
13,12,1,4
14,13.337,1,4
15,12.251,1,4
16,10.501,1,4
17,12.334,1,4
18,11.833,1,4
19,15,1,4
20,13.083,1,4
21,11.918,1,4
22,12.003,1,4
23,12.584,1,4
24,11.418,1,4
25,11.085,1,4
26,12.834,1,4
27,11.333,1,4
28,10.417,1,4
29,11.25,1,4
30,12.086,1,4
31,11.505,1,4
32,11.501,1,4
33,11.167,1,4
34,10.083,1,4
35,10.583,1,4
36,11.917,1,4
37,12.75,1,4
38,11.167,1,4
39,11.084,1,4
40,11.833,1,4
41,11,1,4
42,11.333,1,4
43,12,1,4
44,14.334,1,4
45,13.667,1,4
46,13.333,1,4
47,11.253,1,4
48,13,1,4
49,11.833,1,4
50,12.751,1,4
51,10.334,1,4
52,12.584,1,4
53,12.251,1,4
54,10.833,1,4
55,11.918,1,4
56,13.834,1,4
57,9.917,1,4
58,12.669,1,4
59,10.418,1,4
60,12.833,1,4
61,12.75,1,4
62,12.75,1,4
63,11.917,1,4
64,12.584,1,4
65,12.333,1,4
66,13.084,1,4
67,11.834,1,4
68,13,1,4
69,11.333,1,4
70,11.75,1,4
71,11.167,1,4
72,10.417,1,4
73,11.751,1,4
